"Country,Year 2015,Year 2016,Year 2017,Year 2018,Year 2019,Year 2020,Year 2021,Year 2022 Forecast,Year 2023 Forecast,Year 2024 Forecast,Year 2025 Forecast,Year 2026 Forecast"
" Afghanistan , $705,60 , $617,13 , $635,79 , $582,32 , $586,20 , $611,27 , no data , no data , no data , no data , no data , no data "
" Lebanon , $7 663,88 , $7 653,69 , $7 819,59 , $8 058,46 , $7 639,10 , $2 784,82 , no data , no data , no data , no data , no data , no data "
" Pakistan , $1 422,92 , $1 436,37 , $1 544,17 , $1 557,89 , $1 352,72 , $1 254,86 , no data , no data , no data , no data , no data , no data "
" Syria , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data "
" Venezuela , $10 568,10 , $9 092,02 , $4 725,05 , $3 404,43 , $2 299,31 , $1 690,66 , $1 627,35 , $1 617,76 , no data , no data , no data , no data "
" Montenegro , $6 517,42 , $7 031,53 , $7 800,27 , $8 854,78 , $8 911,27 , $7 702,60 , $8 837,58 , $9 712,51 , $10 522,84 , $11 327,39 , $12 147,30 , $12 986,03 "
" Grenada , $9 096,54 , $9 628,26 , $10 152,83 , $10 466,81 , $10 608,38 , $9 130,37 , $9 575,34 , $10 194,01 , $10 878,13 , $11 568,88 , $12 117,26 , $12 658,32 "
" Kazakhstan , $10 435,17 , $7 662,01 , $9 186,71 , $9 749,07 , $9 750,43 , $9 071,30 , $10 144,68 , $10 510,36 , $11 104,66 , $11 656,71 , $12 103,15 , $12 647,70 "
" Mexico , $9 657,12 , $8 788,59 , $9 342,92 , $9 753,67 , $10 028,87 , $8 403,60 , $9 967,39 , $10 541,44 , $11 024,77 , $11 479,68 , $11 933,77 , $12 395,96 "
" Dominican Republic , $7 139,51 , $7 521,27 , $7 874,94 , $8 340,96 , $8 595,61 , $7 553,51 , $8 491,62 , $9 158,02 , $9 732,88 , $10 338,38 , $10 984,13 , $11 664,19 "
" Argentina , $14 895,32 , $12 772,87 , $14 618,33 , $11 786,43 , $10 054,02 , $8 571,94 , $9 929,15 , $10 448,39 , $10 189,26 , $10 337,88 , $10 723,00 , $11 129,62 "
" Dominica , $7 596,22 , $8 089,25 , $7 768,35 , $8 118,96 , $8 524,70 , $7 416,24 , $7 777,02 , $8 559,17 , $9 240,85 , $9 876,76 , $10 501,81 , $10 983,68 "
" Brazil , $8 846,48 , $8 757,31 , $9 978,09 , $9 194,15 , $8 935,76 , $6 822,56 , $7 741,15 , $8 464,33 , $9 102,21 , $9 800,05 , $10 371,90 , $10 922,30 "
" Nauru , $6 994,05 , $7 674,48 , $8 152,26 , $9 398,51 , $9 365,10 , $8 866,87 , $10 138,20 , $10 361,20 , $10 576,17 , $10 668,97 , $10 687,36 , $10 564,32 "
" Thailand , $5 837,81 , $5 995,21 , $6 596,22 , $7 293,89 , $7 816,23 , $7 187,86 , $7 808,66 , $8 356,18 , $8 791,91 , $9 316,65 , $9 869,30 , $10 441,09 "
